date_sent,channel,segment_name,subject_or_content,open_rate,click_rate,conversions
6/10/25,Email,Young Members 18\'9624,Free student checking $25 bonus,36.2,4.9,18
6/18/25,SMS,New Members <6 Months,Welcome tips + mobile app setup,42.1,6.2,25
6/25/25,Email,High-Balance Savers,2.00% 12-mo CD for members,28,3.1,9
7/2/25,Email,Mortgage Holders,Lower your payment with refi options,31.4,2.8,7
7/8/25,Social,Young Members 18\'9624,Summer debit rewards challenge,22.5,1.4,3
7/12/25,Email,Retirees 65+,CD ladder guide for steady income,39.8,5.3,21
7/20/25,SMS,Auto Loan Prospects,72-hour rate lock 5.49% APR,33,3.7,11
7/27/25,Email,New Members <6 Months,Set up direct deposit in 2 minutes,37.2,4.1,14
8/1/25,Email,High-Balance Savers,Relationship tier: bump your APY,26.9,2.3,6
8/5/25,Email,Young Members 18\'9624,Back-to-school budget toolkit,34,3.8,12
8/12/25,SMS,Mortgage Holders,Skip-a-payment eligibility check,29.1,2,5
8/18/25,Email,Retirees 65+,Travel credit card\'97no FX fees,41.6,4.6,16
